,Current Class,FACTOR: COST,FACTOR: LOCATION,FACTOR: PROGRAM,FACTOR: ONLINE,FACTOR: REFERRAL,FACTOR: STAFF,FACTOR: COLLEGE REPUTATION,FACTOR: FINANCIAL AID,FACTOR: SCHOLARSHIPS,FACTOR: CLASS SIZE (S),FACTOR: OPPORTUNITY,FACTOR: TRANSFERING IN,FACTOR: PAST NEGATIVE EXPERIENCE,FACTOR: NJ STARS,FACTOR: TRANSFERING OUT,FACTOR: CREDIT IN HIGHSCHOOL,DEGREE/PROGRAM,CONTINUED INTEREST (1-5),INTEREST: WEB DEVELOPMENT,INTEREST: CYBERSECURITY,INTEREST: APP DEVELOPMENT,INTEREST: DATA ANALYTICS,INTEREST: ARTIFICIAL INTELLIGENCE,INTEREST: COMPUTER PROGRAMMING,INTEREST: GAME DESIGN,INTEREST: HARDWARE INSTALLATION & REPAIR,Age
63,CMP 101 Computer Information Literacy,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Liberal Arts,3,Yes,Yes,Yes,No,Yes,Yes,Yes,No,19-20
64,CMP 135 Computer Concepts with Applications,No Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Criminal Justice,1,No,No,No,No,No,No,No,No,19-20
65,CMP 126 Computer Technology and Applications,Some Impact,,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Broadcasting Arts and Technology,3,No,No,Yes,No,No,No,Yes,No,19-20
66,CMP 101 Computer Information Literacy,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Liberal Arts,2,No,No,No,No,No,No,No,No,19-20
67,CMP 126 Computer Technology and Applications,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Communication,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,25-34
68,CMP 126 Computer Technology and Applications,High Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Liberal Arts,3,Yes,No,Yes,No,No,No,Yes,No,19-20
69,CMP 126 Computer Technology and Applications,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,Criminal Justice,3,Yes,Yes,Yes,No,No,Yes,Yes,Yes,19-20
70,CMP 126 Computer Technology and Applications,,,,,,,,,,,,,,,,,Broadcasting Arts and Technology,3,Yes,No,Yes,No,No,Yes,Yes,No,19-20
71,CMP 101 Computer Information Literacy,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Liberal Arts,3,Yes,Yes,No,No,Yes,Yes,Yes,Yes,19-20
72,CMP 101 Computer Information Literacy,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,High Impact,,,,,,High Impact,,Nursing,2,No,No,No,No,No,No,No,No,21-24
73,CMP 126 Computer Technology and Applications,High Impact,High Impact,,,,,,,,,,,,,,,Musical Theatre,1,No,No,No,No,No,No,No,No,35-64
